Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Woody Marks,HOU,RB63,58.4,234.6,1.6,19.4,144.5,0.8,0.1,52.2
Tahj Brooks,CIN,RB64,66.1,266.1,2.1,12.4,103.6,0.7,1,51.8
Ty Johnson,BUF,RB65,45.2,206,0.9,15.1,165.3,1.5,0.1,51.4
Isaac TeSlaa,DET,WR86,0,0,0,28.4,375.3,2.3,0.1,51.3
Adonai Mitchell,NYJ,WR87,2.9,9.5,0.1,28.3,371,2.2,0.4,50.5
Greg Dortch,DET,WR88,4.8,30.6,0.1,33,329.1,2.5,0.4,50.5
Christian Watson,GB,WR89,3.3,14,0,19.9,355.3,2.3,0.4,50.2
Dontayvion Wicks,PHI,WR90,0,1.3,0,25.6,321.4,3,0,50.2
Samaje Perine,CIN,RB66,49.5,201.6,1.3,18.4,161.8,0.9,0.7,48.4
KaVontae Turpin,DAL,WR91,8.3,57.9,0.5,23.7,289.7,1.9,0.7,47.7
Noah Gray,KC,TE31,0,0.5,0,30.1,307.9,2.8,0.1,47.3
Jamari Thrash,CLE,WR92,0,0,0,29.5,355.8,1.9,0.1,46.7
Zamir White,LV,RB67,67.9,263.3,1.6,11.5,80.5,0.4,0.1,46
Tyler Conklin,DET,TE32,0,0,0,33.5,324.6,2.3,0,45.9
Kyle Monangai,CHI,RB68,44.3,265.6,2.4,6.4,45.5,0.1,0.1,45.7
AJ Barner,SEA,TE33,0,0,0,32.3,305.6,2.4,0.1,44.8
Dont'e Thornton Jr.,LV,WR93,0,2,0,24.9,324.6,2,0.1,44.6
Jarquez Hunter,LAR,RB69,61.6,250.9,2,7.1,61.3,0.4,0.7,44.4
Jalen Nailor,LV,WR94,1.8,3.1,0,21,285.6,2.6,0.4,43.8
Devin Neal,NO,RB70,53.6,247.8,1.7,8.3,61.6,0.4,0.1,43.3
Kenneth Gainwell,TB,RB71,59.5,229.6,1.6,12.7,89.7,0.4,0.4,43.3
Malik Washington,MIA,WR95,2,13.8,0.1,30,313,1.8,0.6,42.9
Isaac Guerendo,SF,RB72,50.1,239.7,1.9,7.5,67.2,0.1,0.4,41.8
Van Jefferson,WAS,WR96,0,0,0,23.6,303.8,1.9,0.1,41.6
Harold Fannin Jr.,CLE,TE34,0,0,0,30.7,303.4,1.8,0.4,40.2
Cole Kmet,CHI,TE35,0,0,0,28.4,272.7,2.3,0.4,40.1
Austin Hooper,ATL,TE36,0,0,0,29.6,294.7,1.9,0.4,39.9
Devin Singletary,NYG,RB73,52,236.7,1.5,9.3,63.5,0.1,0.4,39.3
Devaughn Vele,NO,WR97,0,1.7,0,27.5,292,1.7,0.2,39.1
Will Shipley,PHI,RB74,40.2,214.5,1.4,9.2,68.1,0.5,0.1,38.9
Trevor Etienne,CAR,RB75,48.3,192.8,1.5,10.8,87.7,0.4,0.4,38.7
Jaleel McLaughlin,DEN,RB76,39.6,169.3,0.9,18.1,109.8,0.9,0.5,37.8
Michael Mayer,LV,TE37,0,0,0,28.5,262.1,1.8,0.1,36.8
Emanuel Wilson,SEA,RB77,43,207.1,1.4,7.9,57.1,0.4,0.4,36.8
Jalen McMillan,TB,WR98,1.4,12.2,0,18,222.6,2.3,0.4,36.4
Sean Tucker,TB,RB78,45.2,232.1,1.4,5.3,41,0.4,0.7,36.3
Elijah Mitchell,NE,RB79,59.6,200.8,1.6,7.2,40.7,0.4,0.1,35.9
Dawson Knox,BUF,TE38,0,0,0,21.9,237.8,1.9,0,35.2
Jaylin Noel,HOU,WR99,0,13,0,21.8,251.2,1.4,0,35
Terrance Ferguson,LAR,TE39,0,0,0,23,235.4,1.9,0.4,34.1
Jack Bech,LV,WR100,0,2.5,0,20,243.1,1.5,0,33.4
Robbie Ouzts,SEA,TE40,0,0,0,25.5,247.9,1.5,0.5,33
Chimere Dike,TEN,WR101,2.1,8.9,0,18.8,222.8,1.5,0,32.2
Foster Moreau,HOU,TE41,0,0,0,19.1,217.9,1.5,0,30.9
Tyler Goodson,ATL,RB80,52.6,180.9,1.1,5.7,37.8,0.4,0,30.5
David Moore,CAR,WR102,0,0,0,18.7,229.8,1.3,0.1,30.4
Demarcus Robinson,SF,WR103,0,0.8,0,12.7,194.1,1.8,0,30.3
DJ Giddens,IND,RB81,23.7,163.2,1.3,7.6,56.1,0.1,0,30.3
Dameon Pierce,PHI,RB82,38.1,183.3,1.2,7.6,50.7,0.2,0.8,29.9
Isaiah Bond,CLE,WR104,0,0,0,18.3,221.5,1.3,0,29.7
Gunnar Helm,TEN,TE42,0,0,0,23,225.8,1.2,0.4,29
Oronde Gadsden II,LAC,TE43,0,0,0,19.1,195.5,1.6,0.1,28.8
Julius Chestnut,TEN,RB83,36.7,144.3,0.8,10.2,74.4,0.3,0,28.8
Jake Bobo,SEA,WR105,0,0,0,16.9,203.6,1.3,0.1,28.2
Tommy Tremble,CAR,TE44,0,0,0,19.3,184.6,1.7,0.4,27.9
Luke Musgrave,GB,TE45,0,0,0,19.3,187,1.4,0,27.1
Josh Oliver,MIN,TE46,0,0,0,17,179.5,1.5,0,27.1
Brock Wright,DET,TE47,0,0,0,15,135.2,2.2,0,26.5
AJ Dillon,CAR,RB84,37,154.1,1.3,3.5,28.2,0.1,0,26.5
Ben Sinnott,WAS,TE48,0,0,0,17.7,174.2,1.5,0,26.1
Jahan Dotson,ATL,WR106,0,1.7,0,15,180.6,1.3,0,26.1
Parker Washington,JAC,WR107,0,5.7,0,17.6,186.9,1.2,0.1,26
Hassan Haskins,LAC,RB85,28.3,117.6,0.9,7.7,58.8,0.5,0.3,25.2
Isaiah Davis,NYJ,RB86,30.8,152.1,0.9,4.9,35.6,0.1,0,24.5
Kalif Raymond,CHI,WR108,0,4,0,14.5,182.3,1.1,0.6,24.3
Zavier Scott,MIN,RB87,32,153,1,3,29,0,0,24.2
Chris Brooks,GB,RB88,27.4,136.6,0.9,7.3,48.5,0.1,0,24.1
Olamide Zaccheaus,ATL,WR109,1.1,6,0,15,165.4,1.1,0.1,23.5
Cade Stover,HOU,TE49,0,0,0,16.9,161,1.2,0,23.4
Elijah Moore,PHI,WR110,0,1.3,0,14.4,158.9,1.2,0,23.4
Adam Trautman,DEN,TE50,0,0,0,13.5,146.8,1.5,0,23.4
Xavier Hutchinson,HOU,WR111,0,0,0,14.5,172.1,1,0.1,23
Jalen Royals,KC,WR112,0,2.5,0,13.8,155.4,1.2,0,22.7
Kyle Juszczyk,SF,RB89,5.9,24.2,0.3,14.4,136.8,0.8,0.4,22.4
Mack Hollins,NE,WR113,0,1.7,0,12.3,153,1.1,0,22.1
Brashard Smith,KC,RB90,14.4,91.4,0.6,8.5,63.1,0.5,0,21.8
Dareke Young,LV,WR114,0,0,0,15.4,171.4,0.9,0.5,21.6
Julian Hill,NE,TE51,0,0,0,17.2,153.9,1.1,0.4,21.2
Jalin Hyatt,NYG,WR115,0,0,0,12,159.5,0.9,0,21
Arian Smith,NYJ,WR116,0,5.5,0,13.4,161,0.7,0,20.9
Kalel Mullings,TEN,RB91,28.5,118.9,0.9,4.2,32.3,0.1,0,20.9
Luke Schoonmaker,DAL,TE52,0,0,0,14.9,132.2,1.2,0,20.1
Kimani Vidal,LAC,RB92,39.6,95.1,0.5,6.4,48.8,0.4,0,19.7
Luke McCaffrey,WAS,WR117,0,1,0,13.2,136.1,1,0.1,19.6
Jeremy Ruckert,NYJ,TE53,0,0,0,16.2,139.3,0.9,0,19.4
Payne Durham,TB,TE54,0,0,0,11.9,116.6,1.3,0,19.3
Charlie Woerner,ATL,TE55,0,0,0,13.7,131.5,1,0,19.3
Emari Demercado,KC,RB93,18.7,106.3,0.4,8.1,53.9,0.1,0,19.1
Grant Calcaterra,PHI,TE56,0,0,0,12.3,135.8,0.9,0,18.7
Ty Chandler,NO,RB94,19.3,97.3,0.7,4.9,34.4,0.1,0,17.8
Tai Felton,MIN,WR118,0,1.7,0,10.1,118.2,1,0,17.8
Jeremy McNichols,WAS,RB95,21.9,93,1.1,2.7,15.3,0,0,17.7
Elijah Higgins,ARI,TE57,0,0,0,11.4,110.4,1.1,0,17.4
Tyquan Thornton,KC,WR119,0,0,0,8.1,116.5,0.9,0,16.8
Darnell Washington,PIT,TE58,0,0,0,12.2,122.9,0.7,0,16.5
Johnny Mundt,PHI,TE59,0,0,0,13.4,115.2,0.8,0,16.5
Savion Williams,GB,WR120,4.5,19.5,0.1,7.6,89.3,0.8,0,16
Blake Whiteheart,CLE,TE60,0,0,0,11.7,116.3,0.7,0,16
George Holani,SEA,RB96,8.8,98,0.6,3,21.9,0,0,15.8
Colby Parkinson,LAR,TE61,0,0,0,10.6,106.9,0.9,0,15.8
Daniel Bellinger,TEN,TE62,0,0,0,12.9,122.7,0.6,0,15.7
Connor Heyward,LV,TE63,0,0,0,10.1,87.1,1.2,0,15.7
Jake Briningstool,KC,TE64,0,0,0,10,94,1,0,15.4
Drew Ogletree,IND,TE65,0,0,0,7.5,96.9,0.8,0,14.6
Tylan Wallace,CLE,WR121,0,1.7,0,6.8,87.5,0.9,0,14.1
Stone Smartt,PHI,TE66,0,0,0,8.9,96.3,0.8,0.3,13.6
Jimmy Horn Jr.,CAR,WR122,0,0,0,8.2,98.1,0.6,0,13.6
Teagan Quitoriano,ARI,TE67,0,0,0,6.4,99.5,0.6,0,13.4
Jaylin Lane,WAS,WR123,2.2,13.5,0.1,6.9,79.6,0.5,0.1,13.3
LeQuint Allen Jr.,JAC,RB97,17,60.6,0.7,3.5,25.4,0.1,0,13.1
Casey Washington,ATL,WR124,0,0,0,7.4,89.8,0.7,0,12.9
Drew Sample,CIN,TE68,0,0,0,10.3,82.6,0.8,0,12.8
Lucas Krull,DEN,TE69,0,0,0,9.9,90.3,0.6,0,12.7
Devin Culp,TB,TE70,0,0,0,7.2,77.2,0.7,0,11.7
Alec Ingold,LAC,RB98,9,21.8,0.6,6.1,44.1,0.4,0.4,11.7
Ryan Flournoy,DAL,WR125,0,0,0,7.7,83.6,0.6,0.1,11.6
KeAndre Lambert-Smith,LAC,WR126,0,3,0,5.9,77.6,0.6,0,11.4
Devontez Walker,BAL,WR127,0,1.7,0,5.2,71,0.7,0,11.3
Bo Melton,GB,WR128,0,0,0,6.6,78.1,0.6,0,11.3
Moliki Matavao,NO,TE71,0,0,0,7.6,74.5,0.6,0,11.2
Travis Homer,PIT,RB99,19.5,63.5,0.3,3.3,24.9,0.1,0,11.2
Brevyn Spann-Ford,DAL,TE72,0,0,0,7.8,74.6,0.6,0,11.2
Tanner Conner,NYG,TE73,0,0,0,8.6,69.1,0.7,0,10.8
Nate Adkins,DEN,TE74,0,0,0,6,46,1,0,10.6
John Bates,WAS,TE75,0,0,0,7.8,74.3,0.5,0,10.6
Phil Mafah,DAL,RB100,0,61.5,0.5,1.5,11,0,0,10.3
Xavier Restrepo,TEN,WR129,0,2,0,4,40,1,0,10.2
Xavier Gipson,NYG,WR130,0,3.7,0,7.4,81.3,0.4,0.5,9.9
Jordan James,SF,RB101,18.2,63,0.4,1,12,0,0,9.8
Trey Palmer,NO,WR131,0,2,0,6.6,76.9,0.3,0,9.8
Hunter Long,JAC,TE76,0,0,0,8.4,75.9,0.4,0,9.8
Raheim Sanders,CLE,RB102,14,56,0.5,1.5,11.5,0,0,9.8
Irvin Charles,NYJ,WR132,0,0,0,6.4,68.3,0.5,0,9.5
