Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Tucker Kraft,GB,TE10,0,0,0,55.5,653.6,4.8,0.8,120.3
Keenan Allen,LAC,WR54,0.3,2,0,55.4,638.8,4.8,0.6,119.3
Christian Kirk,SF,WR55,0.7,4,0,54.3,698.3,3.7,0.8,117.7
DeMario Douglas,NE,WR56,2.1,15.9,0,60.8,646.4,3.5,0.2,117.4
Wan'Dale Robinson,TEN,WR57,2,15.8,0,69.2,625.7,3.1,0.5,116.9
Jake Ferguson,DAL,TE11,0,0,0,67.9,621,3.8,1.3,116.4
Kyle Pitts Sr.,ATL,TE12,0,0,0,51.2,648.4,4.2,0.1,115.8
Dallas Goedert,PHI,TE13,0,2,0,57.5,634.2,3.9,0.5,114.8
Jayden Higgins,HOU,WR58,0.7,4,0,50,663.6,3.9,0.4,114.3
Rachaad White,WAS,RB38,104.6,420.7,2.7,35.7,269.8,2.1,1.3,113.2
Brandon Aiyuk,SF,WR59,0,0.8,0,45,685.8,3.7,0.5,112.5
Dalton Kincaid,BUF,TE14,0,0,0,57.3,603.2,4,0.5,112.2
Romeo Doubs,NE,WR60,0,0.5,0,46.9,598.2,4.3,0.5,107.9
Quinshon Judkins,CLE,RB39,127,543.7,3.6,21.7,168.3,0.9,1.2,107
Cam Skattebo,NYG,RB40,122.3,523.4,3.5,23.8,185,1,1.2,106.9
Joshua Palmer,BUF,WR61,0,0.5,0,44.5,622.5,3.8,0.1,106.8
Hunter Henry,NE,TE15,0,0,0,54.4,568.5,3.9,0.4,106.6
Colston Loveland,CHI,TE16,0,0,0,54.3,569.6,3.8,1.1,104.5
Tank Bigsby,PHI,RB41,150.5,618.7,5,10.6,76.9,0.2,1.1,103.7
Dylan Sampson,CLE,RB42,125,518.5,3,22.8,178.6,0.9,0.8,103.4
Trey Benson,ARI,RB43,129.4,581.4,3.8,16.5,125.8,0.5,0.9,103.2
Chig Okonkwo,WAS,TE17,0,3,0,56.5,563.5,3.2,0.8,102.6
Brenton Strange,JAC,TE18,0,0,0,55.2,548.8,3.5,0.5,102.5
Tyler Lockett,LV,WR62,0,0,0,49.2,570.3,3.4,0.1,101.6
Michael Wilson,ARI,WR63,1.9,8.9,0.1,44.9,540.2,4.1,0.5,101
Jaydon Blue,DAL,RB44,113.8,496.2,3.1,22.9,176.6,0.9,0.8,100.8
Cade Otton,TB,TE19,0,0,0,50.4,515.6,4.1,0.5,100.5
Luther Burden III,CHI,WR64,3.6,27.2,0.4,44.8,542.1,3.2,1.1,98.4
Calvin Austin III,NYG,WR65,2.3,11.8,0.1,41,547.6,3.5,0.5,96.5
Najee Harris,LAC,RB45,124.6,484.2,3.8,17.7,130,0.7,0.8,95.7
Mike Gesicki,CIN,TE20,0,0,0,50.8,501.3,3.4,0.4,95.2
Tre Harris,LAC,WR66,0.7,3.8,0,40.6,542.4,3.4,0.7,94
Mason Taylor,NYJ,TE21,0,0,0,51.5,518,3,0.8,94
Tyler Allgeier,ARI,RB46,121.3,555.1,3.3,13.8,102.1,0.4,0.8,93.3
