Player,Team,POS,FPTS_STD,FPTS_PPR,FPTS_HPPR,ADP_STD,ADP_PPR,ADP_HPPR,RUSH_ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FUM_LOST,QB_ATT,QB_CMP,QB_YDS,QB_TDS,QB_INTS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,ESPN_ID,NFLREADPY_ID,HEADSHOT
Breece Hall,NYJ,RB18,178.7,224.7,201.7,34,38.8,38,218.4,977.9,5.8,46,376.5,1.9,1.6,,,,,,,,,,,,,,,,,4427366,00-0038120,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m3dviruymtm2wl2zcpmr"
Brenden Bates,CLE,TE123,0,0,0,,764,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4362603,00-0039458,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/th1klervgxrienmlierf"
Brenton Strange,JAX,TE18,74.9,130.1,102.5,173.5,197.5,186.7,0,0,0,55.2,548.8,3.5,0.5,,,,,,,,,,,,,,,,,4430539,00-0038935,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yabpcvadjlrkxzducv7k"
Brevyn Spann-Ford,DAL,TE72,11.2,19,15.1,,552,,0,0,0,7.8,74.6,0.6,0,,,,,,,,,,,,,,,,,4360967,00-0039530,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tsblwzvfsxuvohhfagls"
Brian Robinson Jr.,ATL,RB54,70.4,78.5,74.4,99.5,126.8,100,106.3,427,3.5,8.1,66.5,0.4,1.2,,,,,,,,,,,,,,,,,,,
Brian Thomas Jr.,JAX,WR7,182.6,274.5,228.6,13.5,15.5,16,3.8,24.9,0,91.9,1293.9,8.6,0.6,,,,,,,,,,,,,,,,,4432773,00-0039893,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/plnekkriys4cm11rnxwl"
British Brooks,HOU,RB130,0,0,0,,781,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4373273,00-0039603,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wpjous6xnyvfbuoupdqd"
Brock Bowers,LV,TE1,148.1,253.1,200.6,18,20,21.3,0,8,0,105.1,1115.4,6.1,0.5,,,,,,,,,,,,,,,,,4432665,00-0039338,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uzp2ffi0lomamxofsrhy"
Brock Wright,DET,TE47,26.5,41.5,34,,310.5,,0,0,0,15,135.2,2.2,0,,,,,,,,,,,,,,,,,4242392,00-0036754,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bd8sqnzheg7zetlhvku5"
Bryce Oliver,TEN,WR146,5.2,8.6,6.9,,553,,0,0,0,3.4,38.2,0.2,0,,,,,,,,,,,,,,,,,4362617,00-0039650,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w8z5zvas0nli3yekxw7w"
Brycen Tremayne,CAR,WR149,3.7,6.4,5,,386,,0,0,0,2.6,29,0.1,0,,,,,,,,,,,,,,,,,4360763,00-0038840,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mpjkirsgrx6qavqrdum6"
Bub Means,NO,WR176,0,0,0,,750,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4427985,00-0039386,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ombzgoqppbhusiwikupj"
Bucky Irving,TB,RB11,209.9,255.2,232.6,16.5,21.8,19.7,245.1,1161.9,8.5,45.3,352.7,1.7,1.4,,,,,,,,,,,,,,,,,4596448,00-0039361,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hmgpumoxwhvrrkcjuuuw"
Cade Otton,TB,TE17,75.3,125.7,100.5,185.5,214.4,198,0,0,0,50.4,515.6,4.1,0.5,,,,,,,,,,,,,,,,,4243331,00-0038129,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dlgxvfpnufpnxkvu1ynb"
Cade Stover,HOU,TE49,23.4,40.4,31.9,,456,,0,0,0,16.9,161,1.2,0,,,,,,,,,,,,,,,,,4426496,00-0039359,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ltjwprbwuy9dtyz1dg7y"
Caleb Lohner,DEN,TE125,0,0,0,,622.5,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4432208,00-0040240,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/v1r6bh2lo5zz7ukvfvbq"
Calvin Austin III,NYG,WR64,76,117,96.5,266.5,265.5,297,2.3,11.8,0.1,41,547.6,3.5,0.5,,,,,,,,,,,,,,,,,4243389,00-0037837,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qlt6ztqcbu0uzad6aavt"
Calvin Ridley,TEN,WR23,144,215.3,179.6,67.5,63.7,66.3,5.6,33.4,0.3,71.4,1045,6,0.9,,,,,,,,,,,,,,,,,3925357,00-0034837,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/l96rlegwqz7qfakbdtlp"
Cam Akers,SEA,RB120,1.4,1.9,1.6,,442.7,,0,10.5,0,0.5,3,0,0,,,,,,,,,,,,,,,,,4240021,00-0036414,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dutj0wamu7giwghnmr4m"
Cam Grandy,CIN,TE85,8.1,14.3,11.2,,593,,0,0,0,6.2,54.1,0.4,0,,,,,,,,,,,,,,,,,4700712,00-0039631,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uay5dmniqx1baal3q3uu"
Cam Skattebo,NYG,RB41,95,118.7,106.9,105.5,103.8,110,122.3,523.4,3.5,23.8,185,1,1.2,,,,,,,,,,,,,,,,,4696981,00-0040715,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vnftthkbvw7ucsqtqjpq"
Cameron Latu,PHI,TE116,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,4372026,00-0038564,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lpit9rjxtbjkl8jjdk7w"
Carlos Washington Jr.,ATL,RB112,3.7,4.7,4.2,,714,,0,30,0,1,7,0,0,,,,,,,,,,,,,,,,,,,
Carson Steele,PHI,RB118,1.9,2.9,2.4,,417,,0,12,0,1,7,0,0,,,,,,,,,,,,,,,,,4714365,00-0039325,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fafuydt7skhufescqhxv"
Casey Washington,ATL,WR124,12.9,20.4,16.6,,736,,0,0,0,7.4,89.8,0.7,0,,,,,,,,,,,,,,,,,4428796,00-0039394,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wkoysykj4htld4yajljn"
Cedric Tillman,CLE,WR51,96.4,154.4,125.4,173,199.3,173.5,0.7,0.8,0,58,734,4.1,0.9,,,,,,,,,,,,,,,,,4369863,00-0038979,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a4mcdjjl1pkxr3etechx"
CeeDee Lamb,DAL,WR3,194,306.1,250,5.5,5,5.7,9.1,58.8,0.3,112.1,1395.2,8.1,1,,,,,,,,,,,,,,,,,4241389,00-0036358,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ijxzvtumjhqu3zva1bwc"
Charlie Jones,CIN,WR145,5.4,8.7,7,,530.5,,0,1.7,0,3.3,39.1,0.2,0,,,,,,,,,,,,,,,,,4257188,00-0038576,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rofwl0wrsdqnfvv4iokq"
Charlie Kolar,LAC,TE80,8.4,13.3,10.9,,460,,0,0.5,0,4.9,60,0.4,0,,,,,,,,,,,,,,,,,4241263,00-0038046,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/g75ws8vkqz9cqwifhcy7"
Charlie Woerner,ATL,TE55,19.3,33,26.1,,630,,0,0,0,13.7,131.5,1,0,,,,,,,,,,,,,,,,,4035020,00-0036429,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tflwxcx2ohrc6e8j0n5a"
Chase Brown,CIN,RB12,208.6,266.4,237.5,21.5,21.2,21.3,244.7,1033.1,8.4,57.8,406.6,2.8,1.4,,,,,,,,,,,,,,,,,4362238,00-0038597,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pv3sq3uzosixxexbznq5"
Chase Edmonds,WAS,RB125,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,3119195,00-0034681,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nbnqxhjafvg2vg6lc2ls"
Chig Okonkwo,WAS,TE19,74.3,130.8,102.6,194,194.5,166.3,0,3,0,56.5,563.5,3.2,0.8,,,,,,,,,,,,,,,,,4360635,00-0037809,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/omm5z5iq6dlmidqz1sgz"
Chimere Dike,TEN,WR101,32.2,50.9,41.6,,656.5,,2.1,8.9,0,18.8,222.8,1.5,0,,,,,,,,,,,,,,,,,4431268,00-0040705,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/njdduv9jx7c8vlrll8ex"
Chris Brooks,GB,RB88,24.1,31.4,27.8,,424.5,,27.4,136.6,0.9,7.3,48.5,0.1,0,,,,,,,,,,,,,,,,,3149687,00-0038685,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nnwloijqopel4em6vfhb"
Chris Godwin Jr.,TB,WR45,109,176.6,142.8,93,107,110,1.6,8.1,0,67.6,784.6,5.1,0.6,,,,,,,,,,,,,,,,,3116165,00-0033921,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ilkheljdx4hbjpisulke"
Chris Manhertz,NYG,TE91,6.7,11.6,9.2,,,,0,0,0,4.9,44.3,0.4,0,,,,,,,,,,,,,,,,,4071345,00-0031484,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/azx76rspzgxfogsqhxet"
Chris Olave,NO,WR36,118.5,193.7,156.1,72.5,82.3,76,0.3,2.6,0,75.1,941.1,4.3,0.9,,,,,,,,,,,,,,,,,4361370,00-0037239,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vrrmyvpvujynckag9jop"
